,u_dpto,u_mpio,poblacion,alfabetizacion,analfabetismo,escolarizado,descolarizado,remunerado,no_remunerado,atencion_formal,atencion_informal,no_necesita_atencion,sexo_m,sexo_f,departamento,municipio,labels
887,19,824,20870,0.831624,0.168376,0.856205,0.143795,0.243699,0.756301,0.071921,0.029276,0.898802,10483,10387,CAUCA,TOTORO,0
888,19,845,18761,0.873248,0.126752,0.892863,0.107137,0.371515,0.628485,0.053302,0.017536,0.929162,8730,10031,CAUCA,VILLA RICA,4
889,20,032,18434,0.774601,0.225399,0.813714,0.186286,0.272052,0.727948,0.058425,0.008029,0.933547,9483,8951,CESAR,ASTREA,1
890,20,238,28550,0.789212,0.210788,0.811524,0.188476,0.298214,0.701786,0.102522,0.030508,0.86697,14310,14240,CESAR,EL COPEY,1
891,20,250,34620,0.807886,0.192114,0.831514,0.168486,0.277874,0.722126,0.101213,0.027816,0.870971,17286,17334,CESAR,EL PASO,1
892,20,295,12444,0.800788,0.199212,0.830842,0.169158,0.264545,0.735455,0.1608,0.050868,0.788332,6291,6153,CESAR,GAMARRA,0
893,20,517,16800,0.795476,0.204524,0.80881,0.19119,0.295714,0.704286,0.069167,0.009226,0.921607,8292,8508,CESAR,PAILITAS,1
894,27,250,11579,0.649797,0.350203,0.689611,0.310389,0.156836,0.843164,0.085241,0.041368,0.873391,5917,5662,CHOCO,EL LITORAL DEL SAN JUAN,2
895,27,372,4108,0.695472,0.304528,0.719815,0.280185,0.13851,0.86149,0.117575,0.032376,0.850049,2103,2005,CHOCO,JURADO,2
896,27,413,8928,0.538754,0.461246,0.573029,0.426971,0.210013,0.789987,0.060148,0.010865,0.928987,4525,4403,CHOCO,LLORO,2
897,27,425,10140,0.635996,0.364004,0.646943,0.353057,0.315976,0.684024,0.05572,0.012722,0.931558,5230,4910,CHOCO,MEDIO ATRATO,2
898,27,430,13423,0.58668,0.41332,0.641585,0.358415,0.209864,0.790136,0.06094,0.009163,0.929896,6763,6660,CHOCO,MEDIO BAUDO,2
899,27,491,8164,0.717908,0.282092,0.738854,0.261146,0.369059,0.630941,0.061979,0.029642,0.908378,4095,4069,CHOCO,NOVITA,1
900,27,495,3456,0.685764,0.314236,0.710069,0.289931,0.196759,0.803241,0.045718,0.01794,0.936343,1764,1692,CHOCO,NUQUI,2
901,44,110,6963,0.849203,0.150797,0.856384,0.143616,0.301307,0.698693,0.033606,0.002585,0.963809,3495,3468,LA GUAJIRA,EL MOLINO,4
902,44,378,17672,0.818979,0.181021,0.829617,0.170383,0.261034,0.738966,0.064905,0.011204,0.923891,8782,8890,LA GUAJIRA,HATONUEVO,1
903,44,420,2952,0.802168,0.197832,0.826558,0.173442,0.284892,0.715108,0.098916,0.027778,0.873306,1549,1403,LA GUAJIRA,LA JAGUA DEL PILAR,1
